hastalik,aciklama,cilttipi,onerilen_urun,cilt_onerilen_urun
Saçkıran,"""Bacağımda gümüş rengi ve kuru olan garip bir leke fark ettim. Çok acımıyor ama özellikle geceleri biraz kaşınıyor. Bir tür kızarıklık mı?""",tum,"Antifungal krem (Terbinafin), Antiseptik sabun, Çay ağacı yağı",
Uyuz,"""Güneydoğu Asya'da sırt çantalı bir geziden yeni döndüm ve kollarımda ve bacaklarımda kaşıntılı şişlikler oluştu. Daha önce yoktular ve bunun yol boyunca edindiğim bir şey olup olmadığını merak ediyorum.""",tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Atlet Ayağı (Tinea Pedis),"""Yazın tamamını havuzda geçirdikten sonra ayaklarım kaşınmaya ve parmak araları soyulmaya başladı. Derim artık çiğ ve yanıyor ve bulaşıcı bir şey olabileceğinden endişeleniyorum.""",yagli,"Antifungal sprey, Ayak deodorantı, Çinko pudra","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Vitiligo,"""Merhaba doktor, göğsümde sürekli beliren bu beyaz noktalar hakkında konuşmayı düşünüyordum. Stresli veya kaygılı olduğumda daha çok ortaya çıkıyorlar ve bunun iş yerindeki özgüvenimi etkileyebileceğinden endişeleniyorum. Neler olduğunu açıklayabilir misiniz ve bununla başa çıkmak için yapabileceğim bir şey var mı?""",tum,"SPF50+ güneş koruyucu, Kamuflaj krem, Topikal kortikosteroid",
Egzama,"""Antrenmandan sonra cildim gerçekten tahriş oluyor, özellikle dirseklerim ve dizlerim çevresinde. Kaşınıyor ve ağrıyor ve performansımı etkiliyor.""",kuru,"Seramid nemlendirici, Topikal kortikosteroid krem, Lipid bariyer krem","Seramid nemlendirici, Lipid bariyer krem, Yağ bazlı temizleyici"
Uyuz,"""Son zamanlarda özellikle iç uyluklarımda ve karnımda ekstra kaşıntı hissediyorum. Bağışıklık sistemim için ilaç kullanıyorum, bu yüzden mantar enfeksiyonu veya başka bir şey olabileceğinden endişeleniyorum.""",tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Atlet Ayağı (Tinea Pedis),"""Bugünkü antrenmandan sonra ayaklarım sıcak ve iltihaplı hissetti, özellikle kemerlerin etrafında. Şimdi, çılgınca kaşınıyorlar ve ayak parmaklarımın arasında garip bir beyaz soyulma var.""",yagli,"Antifungal sprey, Ayak deodorantı, Çinko pudra","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Saçkıran,"""Koç, göğsümde çok kaşınan ve beni rahatsız etmeyi bırakmayan halka şeklinde bir leke var. Bunun spor salonundaki ortak matı kullanmaktan kaynaklandığını düşünüyorum.""",tum,"Antifungal krem (Terbinafin), Antiseptik sabun, Çay ağacı yağı",
İmpetigo hastalığı,"""Eşimin ellerinde bahçede çalışmaktan kaynaklandığını söylediği kırmızı, kabuklu yaralar var. Ağrılı ve şiş görünüyorlar ve enfeksiyon kapmış olabileceğinden endişeleniyorum.""",hassas,"Mupirosin merhem, Antiseptik temizleyici, Kurutucu pudra","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Zona (Herpes Zoster),"""Ben bir öğretmenim ve sürekli olarak hasta çocuklara maruz kalıyorum. Şimdi sırtımda hareket etmeyi zorlaştıran bir yanma döküntüsü var. Bulaşıcı olabileceğimden ve öğrencilerimi riske atabileceğimden endişeleniyorum.""",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Akne,"""Her zaman biraz sivilcem vardı, ancak son zamanlarda çok daha kötüleşti. Kendimi bilinçli hissetmeden aynaya bile bakamadığımı hissediyorum. Özgüvenimi ve sosyal hayatımı etkiliyor ve bu konuda kendimi gerçekten kötü hissediyorum. Cildimin normale dönmesine yardım edebilir misin?""",yagli,"Benzoyl Peroxide %5-10, Salisilik Asit %2, Niacinamide serum, Retinoid krem","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Gül hastalığı,"""Cildim güneşe karşı çok hassas ve herhangi bir maruziyet rosacea'mı daha da kötüleştiriyor. Kırmızı lekeler ve püstüller oluşuyor ve gözlerim tahriş olmuş ve sulu hissediyor. Alevlenmeleri tetiklemeyen güneş kremi bulmakta zorlanıyorum.""",hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Folikülit,"""Yağ ve gres kullandığımız bir fabrikada çalışıyordum ve şimdi kollarımda ve ön kollarımda bu ağrılı şişlikler var. Siyah noktalara benziyorlar ama giderek büyüyorlar ve daha fazla iltihaplanıyorlar.""",yagli,"Benzoyl Peroxide %5, Salisilik asitli temizleyici, Tea tree oil","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Folikülit,"""Uzun zamandır antibiyotik kullanıyorum ve şimdi kollarımda ve bacaklarımda kaşıntılı, kırmızı şişlikler var. Yayılıyor gibi görünüyorlar ve enfeksiyondan endişeleniyorum.""",yagli,"Benzoyl Peroxide %5, Salisilik asitli temizleyici, Tea tree oil","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Vitiligo,"""Vitiligo teşhisi kondu ve tedavi seçenekleriyle ilgileniyorum. Kremler, ışık terapisi ve hatta ameliyat hakkında bir şeyler duydum. Her birinin artılarını ve eksilerini açıklayabilir ve vakam için en iyi yaklaşımı bulmama yardımcı olabilir misiniz?""",tum,"SPF50+ güneş koruyucu, Kamuflaj krem, Topikal kortikosteroid",
Zona (Herpes Zoster),"""Hamileyim ve kendimi iyi hissetmiyorum. Şimdi karnımda beni gerginleştiren yanma hissi veren bir kızarıklık var. Bebeğe zarar verebileceğinden endişeleniyorum ve ne yapacağımı bilmiyorum.""",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Saçkıran,"""Kolumdaki bu kırmızı, halka şeklindeki lekeden endişeleniyorum. Bağışıklık sistemim çok iyi değil ve bunun zararsız bir kızarıklıktan daha fazlası olabileceğinden endişeleniyorum.""",tum,"Antifungal krem (Terbinafin), Antiseptik sabun, Çay ağacı yağı",
Uyuz,"""Son zamanlarda uyuz hastası bir hastayı tedavi ediyordum ve şimdi kendim de kaşınmaya başladım, özellikle bileklerimde ve dirseklerimin iç kısmında. Acaba onlardan mı kaptım?""",tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Akne,"""Merhaba doktor, son zamanlarda yüzümde küçük, kaşıntılı şişlikler fark ediyorum. Yayılıyor gibi görünüyorlar ve bazıları küçük beyaz noktalara bile dönüştü. Ne olduklarından emin değilim ama beni rahatsız ediyorlar ve daha da kötüleşebileceklerinden endişeleniyorum. Bir bakabilir misiniz?""",yagli,"Benzoyl Peroxide %5-10, Salisilik Asit %2, Niacinamide serum, Retinoid krem","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Saçkıran,"""Anneciğim, karnım kaşınıyor! Yuvarlak, kırmızı bir leke var ve sürekli kaşımak istiyorum. Üzerine biraz krem sürebilir misin?""",tum,"Antifungal krem (Terbinafin), Antiseptik sabun, Çay ağacı yağı",
Sedef hastalığı,"""Dirseklerimdeki sedef lekeleri hamile kaldığımdan beri daha da kötü görünüyor. İlaç kullanımı ve bunların bebeğe olan etkisi konusunda endişeliyim.""",tum,"Katranlı şampuan, Salisilik asit krem, Nemlendirici",
Sedef hastalığı,"""Kollarımda ve bacaklarımda çirkin hissetmeme neden olan kırmızı, engebeli lekeler var. Artık şort veya atlet giymeyi sevmiyorum ve havuzdan kaçınıyorum.""",tum,"Katranlı şampuan, Salisilik asit krem, Nemlendirici",
Egzama,"""Ellerimde ve kollarımda kuru, kaşıntılı lekeler oluştu. Bu durum, işte odaklanmamı ve bulaşık yıkamak gibi basit işleri bile yapmamı zorlaştırıyor.""",kuru,"Seramid nemlendirici, Topikal kortikosteroid krem, Lipid bariyer krem","Seramid nemlendirici, Lipid bariyer krem, Yağ bazlı temizleyici"
Akne,"""Makyaj yapmayı seviyorum ama son zamanlarda sivilcelerimi daha da kötüleştiriyor gibi görünüyor. Fırçalarımı temiz tutmaya ve komedojenik olmayan ürünler kullanmaya çalışıyorum ama bu işe yaramıyor gibi görünüyor. Sizce makyajı tamamen bırakmanın zamanı geldi mi?""",yagli,"Benzoyl Peroxide %5-10, Salisilik Asit %2, Niacinamide serum, Retinoid krem","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Kurdeşen (Ürtiker),"""Son zamanlarda stresli hissediyorum ve bugün göğsümde ve sırtımda aniden tüm bu kırmızı kabarıklıklar belirdi. Batıyorlar ve uyumamı zorlaştırıyorlar. Stres kurdeşenleri olabilir mi?""",hassas,"Antihistaminik krem, Seramid bariyer krem, Aloe vera jel","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Atlet Ayağı (Tinea Pedis),"""Anneciğim, ayaklarım o kadar çok kaşınıyor ki kaşımayı bırakamıyorum! Ve parmaklarımın arasında komik görünüyorlar, sanki beyaz deri soyuluyormuş gibi.""",yagli,"Antifungal sprey, Ayak deodorantı, Çinko pudra","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Folikülit,"""Çenemde ve sakal bölgemde kırmızı, iltihaplı şişlikler var. Giderek büyüyorlar ve daha da ağrıyorlar ve yara izi kalmasından endişeleniyorum.""",yagli,"Benzoyl Peroxide %5, Salisilik asitli temizleyici, Tea tree oil","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Kurdeşen (Ürtiker),"""Dün biraz kabuklu deniz ürünü yedikten sonra ellerimde ve yüzümde kaşıntılı kabarıklıklar oluşmaya başladı. Boğazım da biraz gergin hissediyor. Alerjik reaksiyon mu geçiriyorum?""",hassas,"Antihistaminik krem, Seramid bariyer krem, Aloe vera jel","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Uyuz,"""Koç, son zamanlarda parmaklarımın ve ayak parmaklarımın arasında yoğun bir kaşıntı hissediyorum. Antrenmanımı etkilemeye başladı ve bulaşıcı olabileceğinden endişeleniyorum. Ne yapmalıyım?""",tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Uyuz,"""Anne, ellerim ve kollarım çılgınca kaşınıyor! Kaşınmayı durduramıyorum ve bu beni ağlatıyor. Cildimde bir sorun mu var?""",tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Zona (Herpes Zoster),"""Ben bir motorcuyum ve uzun bir sürüşten sonra göğsümde garip bir kızarıklık fark ettim. Kırmızı ve kabarcıklı ve deri ceketimi giydiğimde çılgınca acıyor. Sadece sürtünme olduğunu düşünmüştüm ama şimdi endişeleniyorum.""",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Kontakt Dermatit,"""Boynum kırmızı ve tahriş olmuş durumda ve aldığım yeni kolye de iz bırakmaya devam ediyor. İlk başlarda beni rahatsız etmiyordu ama şimdi gerçekten kaşınıyor ve rahatsız ediyor.""",hassas,"Topikal kortikosteroid krem, Seramid bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Gül hastalığı,"""Yıllar geçtikçe burnumun kalınlaştığını ve şiştiğini fark ettim ve bunun rosacea hastalığımla ilgili olabileceğinden endişeleniyorum. Ayrıca yanaklarımda kırmızı lekeler ve gözle görülür kan damarları var.""",hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Uyuz,"""Hey doktor, vücudumun her yerinde, özellikle parmak aralarımda yoğun bir kaşıntı var. Beni çileden çıkarıyor! Kaşıntıyı durdurmak için her şeyi denedim ama geceleri daha da kötüleşiyor.""",tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Saçkıran,"""Anneciğim, egzamam kötüleşiyor gibi görünüyor. Her zamanki yamalar daha fazla kaşınıyor ve birinin etrafında yeni, kırmızı bir halka var. Farklı bir şey olabilir mi?""",tum,"Antifungal krem (Terbinafin), Antiseptik sabun, Çay ağacı yağı",
Gül hastalığı,"""Doktor, yüzüm son zamanlarda çok kırmızı ve kızarmış durumda, özellikle yanaklarım ve burnumun etrafı. Sürekli kızarıyormuşum gibi ve bu beni kendimden utandırıyor. Ayrıca bazen kaşıntılı ve yanık hissi veren küçük, kırmızı şişlikler de var.""",hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kurdeşen (Ürtiker),"""Doktorum yeni ilacımın bu kurdeşenlere neden olabileceğini düşünüyor. Diğer semptomlarım kadar kötü değiller ama yine de can sıkıcılar.""",hassas,"Antihistaminik krem, Seramid bariyer krem, Aloe vera jel","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Vitiligo,"""Doktor, Vitiligo'nun ciddi bir tıbbi rahatsızlık olmadığını anlıyorum, ancak gerçekten öz saygımı ve sosyal hayatımı etkiliyor. Cildimi göstermek konusunda kendimi bilinçli hissediyorum ve başkalarından uzaklaşmaya başlıyorum. Herhangi bir kaynak veya destek grubu var mı?""",tum,"SPF50+ güneş koruyucu, Kamuflaj krem, Topikal kortikosteroid",
Saçkıran,"""Son zamanlarda çok fazla stres altındayım ve şimdi sırtımda geçmeyen kaşıntılı, dairesel bir leke var. Bunun stresle mi yoksa başka bir şeyle mi ilgili olduğundan emin değilim.""",tum,"Antifungal krem (Terbinafin), Antiseptik sabun, Çay ağacı yağı",
Egzama,"""Yüzüm son zamanlarda çılgınca sivilcelenmeye başladı ve gerçekten kaşınıyor. Utanç verici ve rahatsız edici ve özgüvenimi kaybetmeye başlıyorum.""",kuru,"Seramid nemlendirici, Topikal kortikosteroid krem, Lipid bariyer krem","Seramid nemlendirici, Lipid bariyer krem, Yağ bazlı temizleyici"
Egzama,"""Egzama olup olmadığımdan emin değilim ama cildimde kaşıntılı, kırmızı lekeler var. Bunu nasıl yönetebileceğimi ve daha da kötüleşmesini nasıl önleyebileceğimi bilmek istiyorum.""",kuru,"Seramid nemlendirici, Topikal kortikosteroid krem, Lipid bariyer krem","Seramid nemlendirici, Lipid bariyer krem, Yağ bazlı temizleyici"
Egzama,"""Son zamanlarda cildim, özellikle karnımda daha hassas hale geldi. Kaşınıyor ve kızarıyor ve bunun bebeği etkileyebileceğinden endişeleniyorum.""",kuru,"Seramid nemlendirici, Topikal kortikosteroid krem, Lipid bariyer krem","Seramid nemlendirici, Lipid bariyer krem, Yağ bazlı temizleyici"
Folikülit,"""Uyluklarımın üst kısmında çılgınca kaşınan minik, kırmızı şişlikler var. Tıraş olduktan veya dar giysiler giydikten sonra daha da kötüleşiyorlar.""",yagli,"Benzoyl Peroxide %5, Salisilik asitli temizleyici, Tea tree oil","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Sedef hastalığı,"Kronik bir cilt rahatsızlığı olan sedef hastalığı, vücudun herhangi bir yerinde görülebilen kırmızı, pullu lekelerle karakterize çeşitli semptomlar gösterir. Genellikle kaşıntılı ve bazen ağrılı olan bu lekeler, boyut ve şiddet açısından farklılık gösterir. Yaygın olarak etkilenen bölgeler arasında dirsekler, dizler, kafa derisi ve alt sırt bulunur. Bireyler, kuru, çatlamış ve kanayabilen cilt ile birlikte kalınlaşmış, gümüş beyazı pullar yaşayabilir. Sedef hastalığı ayrıca bazı durumlarda çukurlaşma veya renk değişikliği gibi tırnak değişikliklerine ve eklem ağrısına neden olabilir. Semptomlar bireyler arasında farklılık gösterse de, bu rahatsızlığın kalıcı doğası fiziksel rahatsızlığa ve duygusal sıkıntıya yol açabilir ve semptom yönetimi için özel tedavi planları gerektirebilir.",tum,"Katranlı şampuan, Salisilik asit krem, Nemlendirici",
İmpetigo hastalığı,"""Yüzümdeki bu kaşıntılı kabarcıklar reçetesiz krem kullanmama rağmen geçmedi. Küçük başladılar ve şimdi sızıyorlar ve kabuklanıyorlar. İmpetigo olabilir mi?""",hassas,"Mupirosin merhem, Antiseptik temizleyici, Kurutucu pudra","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Vitiligo,"Pigmentasyonu etkileyen bir cilt rahatsızlığı olan vitiligo, belirgin semptomlar gösterir, özellikle melanin kaybına bağlı beyaz lekelerin gelişmesi. Bu lekeler genellikle yüz, eller, dirsekler, dizler ve genital bölge dahil olmak üzere vücudun çeşitli bölgelerinde görülür. Durum genellikle zamanla ilerler, öngörülemez şekilde yayılır veya sabit kalır. Vitiligo doğası gereği ağrılı veya bulaşıcı değildir, ancak belirgin görünümü nedeniyle duygusal sıkıntıya ve sosyal damgalanmaya yol açabilir. Belirgin depigmente lekelerin yanı sıra, vitiligolu kişiler saç derisi, kirpikler ve kaşlarda erken grileşme yaşayabilir ve bu da etkilenmemiş cilt bölgeleriyle olan kontrastı daha da belirginleştirir.",tum,"SPF50+ güneş koruyucu, Kamuflaj krem, Topikal kortikosteroid",
Gül hastalığı,"""Cildim son zamanlarda gerçekten hassaslaştı ve belirli ürünler ve hatta hava koşulları nedeniyle kolayca tahriş oluyor. Burnumda gelip giden kırmızı lekeler ve sivilceler var ve bazen gözlerim sulanıyor ve kaşınıyor.""",hassas,"Azelaik asit krem, Sükralfat bariyer krem, Termal sprey","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Sedef hastalığı,"""Cildim kaşınıyor ve bazen acıyor, arkadaşlarımınkinden farklı görünüyor. Annem buna sedef hastalığı diyor ama ben anlamıyorum.""",tum,"Katranlı şampuan, Salisilik asit krem, Nemlendirici",
İmpetigo hastalığı,"""Kolumda enfeksiyonlu gibi görünen ağrılı yaralar var. Kırmızı şişlikler olarak başladılar ve şimdi kabuklu ve bal rengindeler. Diyabet hastasıyım, bu yüzden enfeksiyondan endişeleniyorum.""",hassas,"Mupirosin merhem, Antiseptik temizleyici, Kurutucu pudra","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Kurdeşen (Ürtiker),"""Her yüzmeye gittiğimde veya soğuk bir şey içtiğimde dudaklarım şişiyor ve her yerimde kaşıntılı kabarcıklar oluşuyor. Bu utanç verici ve rahatsız edici.""",hassas,"Antihistaminik krem, Seramid bariyer krem, Aloe vera jel","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Sedef hastalığı,"""Dirseklerimde ve dizlerimde geçmeyen kırmızı, kaşıntılı lekeler var. Pul pul oluyorlar ve bazen kaşıdığımda kanıyorlar. Özellikle yazın, bunlar konusunda çok bilinçliyim.""",tum,"Katranlı şampuan, Salisilik asit krem, Nemlendirici",
Zona (Herpes Zoster),"""İyi uyuyamıyorum ve gözümde sürekli bir ağrı var. Şimdi alnımda görüşümü bulanıklaştıran kırmızı, kabuklu bir döküntü görüyorum. Kör olabileceğimden endişeleniyorum.""",tum,"Asiklovir krem, Yatıştırıcı losyon, Lidokainli krem",
Akne,"""Dersler ve iş arasında zar zor yeterli uyku alabiliyorum ve bunun cildimi etkilediğini düşünüyorum. Sivilcelerim kötüleşiyor gibi görünüyor ve gözlerimin altında koyu halkalar var. Daha fazla uyumam gerektiğini biliyorum ama zaman bulmak zor. Herhangi bir tavsiyeniz var mı?""",yagli,"Benzoyl Peroxide %5-10, Salisilik Asit %2, Niacinamide serum, Retinoid krem","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Sedef hastalığı,"""Geleneksel ilaçları denedim, ancak benim için pek işe yaramadılar. Akupunktur veya diyet değişiklikleri gibi alternatif terapileri keşfetmekle ilgileniyorum.""",tum,"Katranlı şampuan, Salisilik asit krem, Nemlendirici",
